,imageName,x0,x1,y0,y1
0,20586908,3353,3453,2943,3043
1,20586908,2157,2257,2502,2602
2,20586908,2788,2888,2241,2341
3,20586908,2908,3008,2774,2874
4,20586908,1052,1152,2412,2512
5,20586908,618,718,2542,2642
6,20586908,771,871,2110,2210
7,20586908,3030,3130,2200,2300
8,20586908,3018,3118,2513,2613
9,20586908,3075,3175,2138,2238
10,20586908,1942,2042,3137,3237
11,20586908,2732,2832,2711,2811
12,20586908,2309,2409,2234,2334
13,20586908,2228,2328,2079,2179
14,20586908,2211,2311,2545,2645
15,20586908,3209,3309,2994,3094
16,20586908,1844,1944,2364,2464
17,20586908,415,515,2125,2225
18,20586908,3240,3340,2475,2575
19,20586908,1729,1829,2057,2157
20,20586908,1712,1812,2157,2257
21,20586908,1647,1747,2496,2596
22,20586908,1603,1703,2182,2282
23,20586908,1531,1631,2236,2336
24,20586908,1170,1270,2760,2860
25,20586908,1165,1265,2946,3046
26,20586908,1003,1103,2851,2951
27,20586908,822,922,1995,2095
28,20586908,787,887,2603,2703
29,20586908,670,770,2616,2716
30,20586908,416,516,2319,2419
31,20586908,1828,1928,3008,3108
32,20586908,1823,1923,1723,1823
33,20586934,2608,2708,222,322
34,20586934,2055,2155,163,263
35,20586934,2581,2681,271,371
36,20586934,2076,2176,125,225
37,20586934,2603,2703,186,286
38,20586934,2593,2693,277,377
39,20586934,1331,1431,833,933
40,20586934,2062,2162,202,302
41,20586934,1366,1466,806,906
42,20586934,1057,1157,216,316
43,20586934,1433,1533,574,674
44,20586934,1505,1605,656,756
45,20586934,2007,2107,778,878
46,20586934,2504,2604,620,720
47,20586934,1720,1820,489,589
48,20586934,2757,2857,488,588
49,20586934,2134,2234,144,244
50,20586934,2123,2223,925,1025
51,20586934,2061,2161,481,581
52,20586934,130,230,120,220
53,20586934,2157,2257,1046,1146
54,20586934,2235,2335,761,861
55,20586934,2309,2409,271,371
56,20586934,2714,2814,552,652
57,20586934,2142,2242,326,426
58,20586934,2573,2673,623,723
59,20586934,1932,2032,1148,1248
60,20586934,1944,2044,806,906
61,20586934,211,311,48,148
62,20586934,948,1048,543,643
63,20586934,1236,1336,986,1086
64,20586934,1414,1514,650,750
65,20586934,1421,1521,706,806
66,20586934,1526,1626,465,565
67,20586934,1609,1709,396,496
68,20586934,1643,1743,655,755
69,20586934,1681,1781,436,536
70,20586934,1740,1840,752,852
71,20586934,1827,1927,579,679
72,20586934,1885,1985,623,723
73,20586934,1898,1998,304,404
74,20586934,1917,2017,429,529
75,20586934,2844,2944,672,772
76,20586934,1979,2079,616,716
77,20586934,3133,3233,667,767
78,20586960,2068,2168,2133,2233
79,20586960,1682,1782,1945,2045
80,20586960,1654,1754,1873,1973
81,20586960,1403,1503,1930,2030
82,20586960,2185,2285,1985,2085
83,20586960,288,388,2419,2519
84,20586960,1931,2031,1718,1818
85,20586960,1944,2044,2406,2506
86,20586960,1962,2062,1320,1420
87,20586960,2139,2239,1901,2001
88,20586960,2249,2349,2453,2553
89,20586960,2264,2364,2080,2180
90,20586960,2380,2480,2635,2735
91,20586960,2390,2490,1433,1533
92,20586960,2498,2598,2327,2427
93,20586960,2662,2762,2342,2442
94,20586960,2751,2851,2262,2362
95,20586960,2817,2917,2230,2330
96,20586960,1911,2011,2321,2421
97,20586960,1871,1971,1352,1452
98,20586960,1852,1952,2245,2345
99,20586960,2871,2971,2479,2579
100,20586960,430,530,2029,2129
101,20586960,865,965,2973,3073
102,20586960,1058,1158,2628,2728
103,20586960,1168,1268,2610,2710
104,20586960,1193,1293,1655,1755
105,20586960,1299,1399,2133,2233
106,20586960,1868,1968,2640,2740
107,20586960,1348,1448,2446,2546
108,20586960,1547,1647,1357,1457
109,20586960,1592,1692,1948,2048
110,20586960,1666,1766,1822,1922
111,20586960,1728,1828,1803,1903
112,20586960,1799,1899,2074,2174
113,20586960,1807,1907,1421,1521
114,20586960,1523,1623,2132,2232
115,20586960,2896,2996,2093,2193
116,20586986,856,956,266,366
117,20586986,904,1004,41,141
118,20586986,1290,1390,147,247
119,20586986,1324,1424,673,773
120,20586986,1442,1542,798,898
121,20586986,1547,1647,604,704
122,20586986,1717,1817,1029,1129
123,20586986,1819,1919,1045,1145
124,20586986,1962,2062,604,704
125,20586986,1977,2077,462,562
126,20586986,2137,2237,651,751
127,20586986,2389,2489,492,592
128,20586986,2410,2510,154,254
129,20586986,2463,2563,229,329
130,20587174,906,1006,22,122
131,20587174,851,951,0,100
132,20587174,883,983,45,145
133,20587174,909,1009,10,110
134,20587174,1541,1641,159,259
135,20587174,1487,1587,242,342
136,20587174,1508,1608,606,706
137,20587226,1174,1274,8,108
138,20587226,1208,1308,42,142
139,20587226,1176,1276,31,131
140,20587226,1406,1506,104,204
141,20587226,2213,2313,139,239
142,20587226,1333,1433,124,224
143,20587226,1350,1450,135,235
144,20587226,1460,1560,138,238
145,20587226,1389,1489,162,262
146,20587226,1379,1479,70,170
147,20587226,1255,1355,17,117
148,20587226,1292,1392,187,287
149,20587226,1389,1489,237,337
150,20587226,1266,1366,90,190
151,20587226,1548,1648,35,135
152,20587226,1589,1689,619,719
153,20587226,1997,2097,295,395
154,20587226,2094,2194,274,374
155,20587466,2149,2249,11,111
156,20587466,2174,2274,14,114
157,20587466,2135,2235,56,156
158,20587466,2114,2214,26,126
159,20587466,947,1047,22,122
160,20587466,2121,2221,33,133
161,20587466,983,1083,28,128
162,20587466,1218,1318,299,399
163,20587466,1377,1477,52,152
164,20587466,2174,2274,75,175
165,20587466,1345,1445,74,174
166,20587466,1414,1514,71,171
167,20587466,2181,2281,147,247
168,20587466,789,889,220,320
169,20587466,1898,1998,0,100
170,20587466,1956,2056,351,451
171,20587466,1146,1246,514,614
172,20587466,2007,2107,54,154
173,20587466,2374,2474,114,214
174,20587492,1084,1184,2046,2146
175,20587492,1067,1167,2048,2148
176,20587492,1108,1208,2063,2163
177,20587492,1075,1175,2086,2186
178,20587492,1124,1224,2047,2147
179,20587492,1110,1210,2009,2109
180,20587492,871,971,1928,2028
181,20587492,838,938,1925,2025
182,20587492,1127,1227,2031,2131
183,20587492,857,957,1938,2038
184,20587492,1292,1392,2196,2296
185,20587492,891,991,1942,2042
186,20587492,1304,1404,2223,2323
187,20587492,901,1001,1976,2076
188,20587492,1085,1185,1998,2098
189,20587492,846,946,1949,2049
190,20587492,1249,1349,2005,2105
191,20587492,1269,1369,2017,2117
192,20587492,1297,1397,2212,2312
193,20587492,1316,1416,2183,2283
194,20587492,1147,1247,2021,2121
195,20587492,1086,1186,2104,2204
196,20587492,903,1003,2168,2268
197,20587492,1312,1412,2482,2582
198,20587492,799,899,1973,2073
199,20587492,789,889,1927,2027
200,20587492,1043,1143,2018,2118
201,20587492,1053,1153,2072,2172
202,20587492,1299,1399,2134,2234
203,20587492,1307,1407,2236,2336
204,20587492,910,1010,1955,2055
205,20587492,1349,1449,2237,2337
206,20587492,895,995,2120,2220
207,20587492,1253,1353,2170,2270
208,20587492,1222,1322,1837,1937
209,20587492,1311,1411,1986,2086
210,20587492,1367,1467,2211,2311
211,20587492,1324,1424,2440,2540
212,20587492,1315,1415,2431,2531
213,20587492,944,1044,2188,2288
214,20587492,1053,1153,2129,2229
215,20587492,1319,1419,2145,2245
216,20587492,1211,1311,1992,2092
217,20587492,1323,1423,2505,2605
218,20587492,1222,1322,1919,2019
219,20587492,1243,1343,1845,1945
220,20587492,1118,1218,2122,2222
221,20587492,1395,1495,2217,2317
222,20587492,1283,1383,2085,2185
223,20587492,1214,1314,1911,2011
224,20587492,811,911,2009,2109
225,20587492,948,1048,2015,2115
226,20587492,1149,1249,2440,2540
227,20587492,1447,1547,2007,2107
228,20587492,872,972,2046,2146
229,20587492,1397,1497,2426,2526
230,20587492,990,1090,2329,2429
231,20587492,1267,1367,1918,2018
232,20587492,1362,1462,1703,1803
233,20587492,1376,1476,2159,2259
234,20587492,1406,1506,2508,2608
235,20587492,1476,1576,2376,2476
236,20587492,1377,1477,1919,2019
237,20587492,1379,1479,2025,2125
238,20587492,681,781,2013,2113
239,20587492,1901,2001,2485,2585
240,20587492,1041,1141,2257,2357
241,20587492,1010,1110,2201,2301
242,20587492,968,1068,2505,2605
243,20587492,930,1030,2291,2391
244,20587492,834,934,2222,2322
245,20587492,830,930,2167,2267
246,20587492,736,836,1994,2094
247,20587492,1266,1366,2296,2396
248,20587492,1920,2020,2329,2429
249,20587518,1442,1542,18,118
250,20587518,1440,1540,50,150
251,20587518,1433,1533,17,117
252,20587518,1057,1157,171,271
253,20587518,1073,1173,208,308
254,20587518,1431,1531,31,131
255,20587518,1038,1138,175,275
256,20587518,1025,1125,219,319
257,20587518,1007,1107,181,281
258,20587518,1480,1580,68,168
259,20587518,1022,1122,160,260
260,20587518,1009,1109,174,274
261,20587518,1395,1495,41,141
262,20587518,1483,1583,41,141
263,20587518,1466,1566,41,141
264,20587518,1407,1507,48,148
265,20587518,1066,1166,168,268
266,20587518,1051,1151,230,330
267,20587518,1097,1197,201,301
268,20587518,978,1078,156,256
269,20587518,1796,1896,103,203
270,20587518,1517,1617,53,153
271,20587518,1214,1314,50,150
272,20587518,1805,1905,152,252
273,20587518,1826,1926,95,195
274,20587518,1166,1266,88,188
275,20587518,1532,1632,80,180
276,20587518,1168,1268,30,130
277,20587518,1185,1285,117,217
278,20587518,1147,1247,8,108
279,20587518,1409,1509,140,240
280,20587518,1423,1523,177,277
281,20587518,909,1009,247,347
282,20587518,861,961,267,367
283,20587518,813,913,333,433
284,20587518,1443,1543,110,210
285,20587518,1570,1670,10,110
286,20587518,1572,1672,297,397
287,20587518,1578,1678,83,183
288,20587518,1594,1694,160,260
289,20587518,1229,1329,54,154
290,20587518,917,1017,261,361
291,20587518,1046,1146,275,375
292,20587518,971,1071,305,405
293,20587518,1399,1499,214,314
294,20587518,1800,1900,8,108
295,20587518,1684,1784,77,177
296,20587518,1645,1745,20,120
297,20587518,1328,1428,63,163
298,20587518,1568,1668,460,560
299,20587518,1542,1642,615,715
300,20587518,1491,1591,317,417
301,20587518,1210,1310,175,275
302,20587518,1024,1124,404,504
